pop,x,y,status,inftime,rem_time
1,251.11335065934085,189.92573707319298,2,12,15
1,189.6618062762419,277.8446820129391,2,20,23
1,199.80722226511674,214.31537738481563,2,36,39
1,111.6238924086615,245.51734744426744,2,8,11
1,190.30679012846244,191.94989069334156,2,5,8
1,125.45066764011978,262.86355306784105,0,0,0
1,189.6384659994959,243.80241876554024,2,10,13
1,289.16278000615523,114.00966899129622,0,0,0
1,169.72681797956216,108.62916556090252,2,27,30
1,206.8154538550318,242.06072705655913,0,0,0
1,208.31719043854798,139.95055893012113,0,0,0
1,190.9638163029424,243.54999859277086,2,47,50
1,168.90187246360648,178.02629655800007,1,49,52
1,291.3924611642942,261.594542357192,2,32,35
1,195.23461286174518,241.3491747948283,2,45,48
1,168.8035295213636,211.133434806991,2,16,19
1,123.36657894230363,124.28654306113884,2,5,8
1,288.73142443029343,299.4718775025111,0,0,0
1,137.46998523275872,219.37410726330143,2,12,15
1,143.15115683436733,108.32587069724266,2,4,7
1,116.16068490763432,163.84824504444958,2,4,7
1,105.04927601408878,122.55594376146395,2,11,14
1,155.9575633082507,112.00280332200549,2,32,35
1,261.0440566954338,235.7543353572451,0,0,0
1,210.14726060208955,127.6534860393331,2,24,27
1,296.0660331931734,184.9546112184305,0,0,0
1,282.90303843047343,205.90805405040265,2,30,33
1,239.35716842337936,148.29203983437316,2,9,12
1,144.889580283265,135.54961773614863,2,4,7
1,130.58694520997884,108.11312494133787,2,24,27
1,197.32235319882477,181.93006266868608,2,15,18
1,152.40304490154068,139.72715686648448,2,3,6
1,225.13640028590544,243.76910139683366,0,0,0
1,246.226607109271,152.85456687125503,2,12,15
1,264.44225811961354,253.92553604084546,2,24,27
1,117.44484609563158,270.700222704498,0,0,0
1,117.13425096283089,207.78179495818563,0,0,0
1,194.38132285276885,298.79596935445437,2,35,38
1,108.00079999820748,121.7597438496844,2,10,13
1,105.98081441818839,149.1957420943255,0,0,0
1,138.2578844298403,114.15002764056226,0,0,0
1,205.25513830649285,282.96355452335354,2,18,21
1,281.5584666423947,227.14600483603414,0,0,0
1,100.09269406613845,128.88082848429633,0,0,0
1,149.89461152425946,143.79144338488982,2,9,12
1,225.91765817787575,178.60079460136387,2,10,13
1,108.38531389292197,112.20192123144426,2,34,37
1,267.79147812444955,212.7081690143331,2,7,10
1,146.09345502092432,130.57094841799764,2,11,14
1,169.32253925168703,247.38560037295986,2,14,17
1,244.25488969204133,292.54523051168485,2,38,41
1,268.607923210168,211.9647736426656,2,5,8
1,158.91012176745215,152.53598937030978,2,5,8
1,189.57224083206825,263.42560587654606,2,16,19
1,215.31449917774094,102.8224323422567,0,0,0
1,250.18498142051357,275.92029373364375,2,47,50
1,124.08864552778836,139.60891279582995,2,8,11
1,142.91026416000292,198.9658534092639,0,0,0
1,282.63341912958583,134.47746534928658,2,7,10
1,245.79596094706022,174.41151569752262,2,7,10
1,201.71984660512643,177.90295855843314,2,11,14
1,177.27065500544768,244.3941393860414,2,9,12
1,123.93096946868829,188.96351305280672,2,3,6
1,211.41091582215176,230.15639235744734,2,7,10
1,106.61585418893014,247.58577474006674,0,0,0
1,132.9598046528262,239.14128907866856,2,46,49
1,184.17826647964552,228.76512761508678,0,0,0
1,270.38461720891314,134.02117632217792,2,18,21
1,128.25150803598842,227.50052908551828,2,12,15
1,288.716076793089,229.24775645847464,0,0,0
1,290.44346982966624,177.96444733132427,2,29,32
1,125.06380794092053,226.63761504941698,2,12,15
1,241.17893304932366,276.2551540807732,0,0,0
1,297.3503819958929,173.16575493591688,2,31,34
1,110.95927521641934,214.3623214245555,2,11,14
1,250.78995875312538,155.50714086483356,2,46,49
1,126.41321020844092,266.68805570130087,0,0,0
1,195.22918150195187,182.6320523217973,2,14,17
1,155.741009127637,221.90196523681067,0,0,0
1,243.87944743702718,102.12651838876437,0,0,0
1,117.53482060668183,184.47737914272693,2,3,6
1,123.77160602690262,134.8196268005994,2,3,6
1,248.98237389039375,260.634841920712,0,0,0
1,168.70693651691124,155.81059158208387,2,9,12
1,105.84280084145618,138.5016346961196,0,0,0
1,142.961450533215,104.63862774828544,0,0,0
1,238.0351671210117,291.84431875434086,2,22,25
1,166.53117687102076,290.6880636965842,2,13,16
1,176.38085822250935,114.84917017264722,2,37,40
1,248.13055682388895,284.428511522794,0,0,0
1,139.92875562111243,181.2478751733297,2,35,38
1,136.54537769393994,210.72211171065442,2,37,40
1,188.36636771734737,140.99464171993702,0,0,0
1,209.64817564113537,287.5179523060293,2,20,23
1,250.49576656805073,125.53186940595624,2,31,34
1,106.5709388700674,156.52446952203735,2,6,9
1,162.04635672800094,106.65655451189156,2,6,9
1,196.97061353459623,271.0696417050936,2,24,27
1,259.2893176515588,250.9551294931109,2,41,44
1,238.00991714524213,162.84150429457725,2,33,36
1,174.05545235835876,132.87835266826562,2,38,41
1,207.43215585016324,200.83461319040492,2,13,16
1,180.254118662887,183.26003435710652,2,15,18
1,274.9509256789232,218.73847302708498,2,28,31
1,294.35299727521135,126.25350503537858,2,10,13
1,282.18114857479094,142.0049097077328,0,0,0
1,158.2341064360944,168.68202335318276,2,45,48
1,225.7374254772686,197.61361717133764,2,5,8
1,147.83263806499522,108.64142519679515,2,8,11
1,158.1164402969199,295.2157196640172,0,0,0
1,140.6435995469024,265.6083018075875,0,0,0
1,124.05883923584051,130.28849598503825,0,0,0
1,136.28501924210698,186.6352551961458,0,0,0
1,286.72126701847736,183.38011706520115,2,28,31
1,291.79582079032934,133.4005147080793,0,0,0
1,221.64225318995852,118.27211752734847,2,35,38
1,292.99157989249295,169.7670112135565,2,29,32
1,292.29664699753084,188.2483434452431,2,32,35
1,150.06166523602784,292.9961253393589,2,24,27
1,260.29744853633474,272.21938632904914,2,25,28
1,147.13374634550578,149.6995713006321,0,0,0
1,131.51445079863137,283.07989157177315,2,19,22
1,216.54591723189907,268.7456201328898,2,37,40
1,206.74051713175072,284.1378660491778,2,33,36
1,272.3324194578098,294.2867146525969,2,29,32
1,234.01746381802937,156.42895946306248,2,16,19
1,112.38292789221079,229.56842271944538,2,7,10
1,269.3639214821595,174.925651769745,2,17,20
1,157.25780847753902,177.77293441089205,2,9,12
1,157.17284629237753,168.1833211043064,2,46,49
1,157.92163054493636,280.8809054950214,2,43,46
1,107.96258659969142,278.63555086831116,2,32,35
1,124.427828105287,220.2436841205638,2,47,50
1,127.21082736485897,101.3233970939884,2,8,11
1,165.38049913445565,156.05899769064365,2,12,15
1,123.28249145350547,139.19391542711833,2,9,12
1,231.49780543946946,220.29307746535954,2,5,8
1,208.10749581317697,259.7531977387264,1,50,53
1,262.407801134657,255.6534185988663,2,32,35
1,214.34535632662215,165.46279342473235,2,27,30
1,267.55683295463984,113.58286222689374,0,0,0
1,197.08141181261158,144.39578955323995,0,0,0
1,201.42517142276978,103.71744579899736,2,9,12
1,229.60377383428497,298.9550747853196,0,0,0
1,273.04580460548823,261.9319455662776,0,0,0
1,242.9200810593352,109.40874385175647,0,0,0
1,150.72785833894574,137.70954126643838,2,6,9
1,231.86201684247183,133.0038027305403,2,22,25
1,164.7194958821608,162.71377943708939,2,9,12
1,254.7013403276901,217.35422401577836,2,9,12
1,135.9571975970432,198.50800347177903,0,0,0
1,137.00187872899573,167.48261212065898,2,4,7
1,237.9892299954497,252.2713469525753,0,0,0
