alpha,2.5520413194954963,1.885313932365413,3.2119738748412012,mod2a,mod2a,a24b2d005,12
beta,2.013069810799845,1.9308891208837777,2.0921282620117347,mod2a,mod2a,a24b2d005,12
delta1,0.0033543812711648597,0.002428129030293878,0.004351583262491646,mod2a,mod2a,a24b2d005,12
alpha,2.00981076652649,1.4420214501685003,2.6097557504078344,mod2a,mod2a,a24b2d005,15
beta,1.9352312500418234,1.8516865324693261,2.0185661992674055,mod2a,mod2a,a24b2d005,15
delta1,0.003454244402484663,0.0024222938068053875,0.004600097353200291,mod2a,mod2a,a24b2d005,15
alpha,1.5994396675818423,0.9599504261472542,2.391715859312267,mod3a,mod3a,a24b2d80d02,3
beta,1.8700220026889096,1.7707581861209174,1.9590052923335097,mod3a,mod3a,a24b2d80d02,3
delta1,0.617819471397731,0.3842192474606157,0.9158658432924917,mod3a,mod3a,a24b2d80d02,3
delta2,0.02896057347896547,0.0027860470969710708,0.07074295729195575,mod3a,mod3a,a24b2d80d02,3
alpha,1.5694759728694032,1.0020780479482405,2.229024700919905,mod3a,mod3a,a24b2d80d02,14
beta,1.8888677770469968,1.79984975075198,1.9779466603980482,mod3a,mod3a,a24b2d80d02,14
delta1,0.6674070014918947,0.4718961345120302,0.9431186012974547,mod3a,mod3a,a24b2d80d02,14
delta2,0.020227085687861433,0.003432009532839073,0.0432974826179859,mod3a,mod3a,a24b2d80d02,14
alpha,1.5475659448384549,1.080881223256615,2.0624291893505964,mod2a,mod2a,a24b2d005,19
beta,1.8187940076190612,1.7269511467362575,1.9143400998520455,mod2a,mod2a,a24b2d005,19
delta1,0.0037833809909096875,0.002858145804606071,0.004710686749257226,mod2a,mod2a,a24b2d005,19
alpha,2.434599483283821,1.7808973103513177,3.1542753844596048,mod2a,mod2a,a24b2d005,20
beta,1.9672228371998803,1.8802034592415309,2.051802628311122,mod2a,mod2a,a24b2d005,20
delta1,0.0038455744570433555,0.002960528757623556,0.0047650842627777875,mod2a,mod2a,a24b2d005,20
alpha,1.1516711172545882,0.5903378480523266,1.842615589815605,mod3a,mod3a,a24b2d80d04,9
beta,1.841614846596333,1.7423929523251847,1.9412045306694108,mod3a,mod3a,a24b2d80d04,9
delta1,0.6201960493271194,0.3278981229159488,0.9948999458733554,mod3a,mod3a,a24b2d80d04,9
delta2,0.07494785525978193,0.0019406207837270222,0.28856479301560745,mod3a,mod3a,a24b2d80d04,9
alpha,1.9585420915193994,1.3630381541471028,2.573995039388222,mod1a,mod1a,a22b2d80h40,1
beta,1.8962789821268604,1.7971267321876903,1.9966354795759427,mod1a,mod1a,a22b2d80h40,1
delta1,0.7861430297483473,0.7463870220144062,0.8236175662338845,mod1a,mod1a,a22b2d80h40,1
delta2,40.50209611372308,39.09702733639165,41.94836187926988,mod1a,mod1a,a22b2d80h40,1
alpha,1.6258889186511891,0.6990330964350526,2.7523950111995683,mod3a,mod3a,a24b2d80d03,3
beta,1.7869020419607788,1.686326326606215,1.8847303908803221,mod3a,mod3a,a24b2d80d03,3
